,target,rank,prompt_type,complexity,avg_f1_score,top_3
0,at,1,cot_knowledge_few_shot,6,0.72915,✅
1,at,2,few_shot,4,0.70875,✅
2,at,3,cot_knowledge,5,0.637375,✅
3,at,4,knowledge_infused,2,0.62775,
4,at,5,cot,3,0.6217,
5,at,6,vanilla,1,0.603125,
6,bernie,1,knowledge_infused,2,0.8199000000000001,✅
7,bernie,2,vanilla,1,0.8173250000000001,✅
8,bernie,3,cot,3,0.81315,✅
9,bernie,4,cot_knowledge_few_shot,6,0.81205,
10,bernie,5,few_shot,4,0.809125,
11,bernie,6,cot_knowledge,5,0.808025,
12,cc,1,cot,3,0.788425,✅
13,cc,2,cot_knowledge,5,0.785125,✅
14,cc,3,few_shot,4,0.7803249999999999,✅
15,cc,4,knowledge_infused,2,0.772825,
16,cc,5,cot_knowledge_few_shot,6,0.76945,
17,cc,6,vanilla,1,0.7586,
18,dt,1,vanilla,1,0.7647250000000001,✅
19,dt,2,cot,3,0.76225,✅
20,dt,3,knowledge_infused,2,0.761675,✅
21,dt,4,cot_knowledge,5,0.75445,
22,dt,5,cot_knowledge_few_shot,6,0.605325,
23,dt,6,few_shot,4,0.5647,
24,dtp,1,vanilla,1,0.9110750000000001,✅
25,dtp,2,knowledge_infused,2,0.9077500000000001,✅
26,dtp,3,cot,3,0.907575,✅
27,dtp,4,cot_knowledge,5,0.9060750000000001,
28,dtp,5,few_shot,4,0.892475,
29,dtp,6,cot_knowledge_few_shot,6,0.8882249999999999,
30,face,1,vanilla,1,0.9172,✅
31,face,2,cot,3,0.915825,✅
32,face,3,knowledge_infused,2,0.9008999999999999,✅
33,face,4,cot_knowledge,5,0.89855,
34,face,5,few_shot,4,0.8538749999999999,
35,face,6,cot_knowledge_few_shot,6,0.8358500000000001,
36,fauci,1,vanilla,1,0.84315,✅
37,fauci,2,knowledge_infused,2,0.8333,✅
38,fauci,3,cot_knowledge_few_shot,6,0.8196,✅
39,fauci,4,cot_knowledge,5,0.815975,
40,fauci,5,few_shot,4,0.814675,
41,fauci,6,cot,3,0.812675,
42,fm,1,knowledge_infused,2,0.815775,✅
43,fm,2,vanilla,1,0.8116000000000001,✅
44,fm,3,cot_knowledge,5,0.8108500000000001,✅
45,fm,4,cot,3,0.790875,
46,fm,5,cot_knowledge_few_shot,6,0.77435,
47,fm,6,few_shot,4,0.7684500000000001,
48,hc,1,vanilla,1,0.854675,✅
49,hc,2,cot,3,0.847575,✅
50,hc,3,cot_knowledge,5,0.84125,✅
51,hc,4,cot_knowledge_few_shot,6,0.8158500000000001,
52,hc,5,few_shot,4,0.810925,
53,hc,6,knowledge_infused,2,0.781425,
54,joe,1,few_shot,4,0.8791,✅
55,joe,2,cot_knowledge_few_shot,6,0.8786,✅
56,joe,3,knowledge_infused,2,0.8764749999999999,✅
57,joe,4,vanilla,1,0.87305,
58,joe,5,cot,3,0.8712249999999999,
59,joe,6,cot_knowledge,5,0.8638250000000001,
60,la,1,cot_knowledge,5,0.74505,✅
61,la,2,knowledge_infused,2,0.744575,✅
62,la,3,cot,3,0.7441000000000001,✅
63,la,4,vanilla,1,0.7348,
64,la,5,cot_knowledge_few_shot,6,0.6951,
65,la,6,few_shot,4,0.69055,
66,stay,1,knowledge_infused,2,0.8779250000000001,✅
67,stay,2,vanilla,1,0.862275,✅
68,stay,3,cot_knowledge,5,0.858125,✅
69,stay,4,cot_knowledge_few_shot,6,0.848525,
70,stay,5,few_shot,4,0.842825,
71,stay,6,cot,3,0.8315250000000001,
72,school,1,vanilla,1,0.81655,✅
73,school,2,few_shot,4,0.79785,✅
74,school,3,cot_knowledge_few_shot,6,0.7764,✅
75,school,4,cot,3,0.760425,
76,school,5,knowledge_infused,2,0.7537,
77,school,6,cot_knowledge,5,0.742775,
78,ent,1,vanilla,1,0.837375,✅
79,ent,2,cot,3,0.8154999999999999,✅
80,ent,3,cot_knowledge_few_shot,6,0.7851000000000001,✅
81,ent,4,few_shot,4,0.7654749999999999,
82,ent,5,knowledge_infused,2,0.7595999999999999,
83,ent,6,cot_knowledge,5,0.758875,
84,hlt,1,vanilla,1,0.833,✅
85,hlt,2,cot,3,0.8241499999999999,✅
86,hlt,3,knowledge_infused,2,0.7966249999999999,✅
87,hlt,4,few_shot,4,0.788125,
88,hlt,5,cot_knowledge,5,0.7783999999999999,
89,hlt,6,cot_knowledge_few_shot,6,0.7598250000000001,
