experiment_type,model,model_size,model_category,model_params,prompt_type,phase,f1_score
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.575
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.1311
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.5218
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.3874
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.7549
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.7004
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.5137
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.8091
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.6312
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.2422
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.5996
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.4547
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.6296
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.4903
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.601
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6894
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.4328
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5715
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.4117
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6212
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.7649
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6356
